Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Middelburg;Johny ten Brinke;06-25480284;JohnytenBrinke@armyspy.com;Hooge Meestraat 88;Middelburg;woensdag 5 juni 2019;Bezorgen;woensdag 5 juni 2019;20:05;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;€ 2,00;2;;€ 0,00;€ 29,90;€ 73,70;;€ 0,00;€ 73,70
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;4;;€ 0,00;€ 43,80;;;;

Amersfoort;Delal Eisses;06-51836739;DelalEisses@superrito.com;Haydnstraat 78;Amersfoort;maandag 30 april 2018;Afhalen;maandag 30 april 2018;20:59;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 72,55;;€ 0,00;€ 72,55
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;;;;

Sittard;Reduan Verdaasdonk;06-46223346;ReduanVerdaasdonk@jourrapide.com;Jos Klijnenlaan 69;Geleen;zondag 1 januari 2017;Bezorgen;zondag 1 januari 2017;20:48;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 72,70;25% korting op je bestelling;€ 18,18;€ 54,53
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;

Landgraaf;Kenrick Emons;06-21615619;KenrickEmons@jourrapide.com;Hovenstraat 120;Landgraaf;zaterdag 11 maart 2017;Bezorgen;zaterdag 11 maart 2017;20:03;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Rotterdam Hoogvliet;Lahcen Vlijm;06-73567695;LahcenVlijm@gustr.com;Huniadijk 188;Rotterdam;maandag 20 november 2017;Afhalen;maandag 20 november 2017;18:33;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;;1;;€ 0,00;€ 11,95;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Emmen;Pelin Kerkvliet;06-60362204;PelinKerkvliet@jourrapide.com;Koninginnepage 157;Emmen;donderdag 22 maart 2018;Afhalen;donderdag 22 maart 2018;20:31;Americana;Medium Pizza;Tomatensaus;€ 6,95;;2;Bacon, Gorgonzola, Merguez, Salami;€ 4,00;€ 21,90;€ 21,90;;€ 0,00;€ 21,90

Scheveningen;Deen van Wel;06-67229041;DeenvanWel@gustr.com;Dennenlaan 105;Harderwijk;dinsdag 8 mei 2018;Bezorgen;dinsdag 8 mei 2018;18:51;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 13,90;€ 13,90;;€ 0,00;€ 13,90

